지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
부산광역시,장안IC(하)주유소,부산 기장군 장안읍 기장대로 1615,SK에너지,051-728-5189,N,-,1498,1698,1600
부산광역시,달음산주유소,부산 기장군 장안읍 정관로 1115,GS칼텍스,051-727-5177,Y,-,1498,1635,-
부산광역시,용문주유소,부산 기장군 일광면 기장대로 710,현대오일뱅크,051-722-5594,Y,-,1499,1679,-
부산광역시,기장IC주유소,부산 기장군 일광면 기장대로 670,SK에너지,051-724-4841,Y,-,1499,1679,-
부산광역시,삼성셀프주유소,부산 기장군 일광면 기장대로 677,S-OIL,051-722-5160,Y,-,1499,1679,-
부산광역시,삼거리주유소,부산 기장군 기장읍 반송로 1653,현대오일뱅크,051-721-8411,N,-,1499,1679,1600
부산광역시,(주)동남주유소,부산 기장군 철마면 반송로 983,GS칼텍스,051-722-9900,Y,-,1499,1679,1500
부산광역시,(주)동광주유소,부산 기장군 기장읍 차성로 241,현대오일뱅크,051-722-4451,Y,-,1499,1675,1500
부산광역시,동양주유소/충전소,부산 기장군 기장읍 기장대로 530,현대오일뱅크,051-723-0202,Y,1750,1499,1679,-
부산광역시,신아시아드주유소,부산광역시 기장군 일광면 기장대로 996,GS칼텍스,051-722-8702,N,-,1507,1717,1600
부산광역시,㈜첼시주유소,부산 기장군 장안읍 정관로 1148,현대오일뱅크,051-727-7473,Y,1928,1508,1674,-
부산광역시,동부산농협클린주유소,부산 기장군 일광면 기장대로 1037,NH-OIL,051-724-5181,Y,-,1509,1679,1450
부산광역시,의학원self주유소,부산 기장군 장안읍 좌동길 47,SK에너지,051-728-1212,Y,-,1509,1639,-
부산광역시,기장수협주유소,부산 기장군 기장읍 기장해안로 426,SK에너지,051-721-1813,N,-,1519,1799,-
부산광역시,세방주유소,부산 기장군 일광면 기장대로 1195,현대오일뱅크,051-727-0016,N,-,1526,1728,1500
부산광역시,공단주유소,부산 기장군 정관면 정관로 833,현대오일뱅크,051-727-1334,N,-,1528,1698,1550
부산광역시,(주)장안가스충전소/주유소,부산 기장군 장안읍 기장대로 1673,S-OIL,051-728-8686,N,-,1537,1697,1550
부산광역시,(주)푸른숲self주유소,부산 기장군 장안읍 기장대로 1751,SK에너지,051-727-8213,Y,1998,1538,1698,-
부산광역시,대변주유소,부산 기장군 기장읍 연화길 34,알뜰주유소,051-723-1800,N,-,1579,1699,1600
부산광역시,장안주유소(울산방향),부산 기장군 장안읍 동해고속도로 26,SK에너지,051-728-5157,N,-,1586,1718,-
부산광역시,장안주유소(부산방향),부산 기장군 장안읍 동해고속도로 25,SK에너지,051-727-7300,N,-,1586,1718,-
부산광역시,태양주유소,부산 기장군 기장읍 대변로 13,GS칼텍스,051-724-5189,N,-,1587,1837,1600
부산광역시,월드주유소,부산 기장군 기장읍 반송로 1559,현대오일뱅크,051-723-3461,Y,-,1587,1847,-
부산광역시,(주)고리길천주유소,부산 기장군 장안읍 해맞이로 487,S-OIL,051-728-9300,N,-,1598,1758,1600
부산광역시,(주)SK정관주유소,부산 기장군 정관면 정관덕산길 21,SK에너지,051-728-5083,Y,-,1599,1699,1700
부산광역시,지에스칼텍스(주)청강휴게소주유소,부산 기장군 기장읍 기장대로 343,GS칼텍스,051-724-1147,Y,-,1609,1779,-
부산광역시,지에스칼텍스(주)동호주유소,부산 동래구 반송로 245 (안락동),GS칼텍스,051-526-9967,Y,-,1479,1664,-
부산광역시,한양주유소,부산 동래구  충렬대로 300 (낙민동),SK에너지,051-554-3363,N,-,1516,1676,1550
부산광역시,충렬주유소,부산 동래구 충렬대로 463,S-OIL,051-522-0569,Y,-,1518,1698,-
부산광역시,대일주유소,부산 동래구 충렬대로 124 (온천동),알뜰주유소,051-502-1155,Y,-,1518,1658,-
부산광역시,명장주유소,부산 동래구 반송로 303 (명장동),알뜰주유소,051-522-3355,Y,-,1518,1664,1530
부산광역시,한창주유소,부산 동래구 우장춘로 56,현대오일뱅크,051-583-5151,Y,-,1519,1678,-
부산광역시,지에스칼텍스㈜ 태양주유소,부산 동래구 충렬대로 440 (안락제2동),GS칼텍스,051-526-0107,Y,1763,1519,1699,-
부산광역시,(주)삼보명진주유소,부산 동래구 충렬대로 51 (온천동),GS칼텍스,051-553-3000,Y,-,1519,1679,-
부산광역시,동방석유(주)푸른주유소,부산 동래구 충렬대로 121 (온천동),SK에너지,051-555-3827,Y,-,1519,1669,-
부산광역시,온천주유소,부산 동래구 명륜로 2,GS칼텍스,051-558-2250,Y,-,1528,1698,1550
부산광역시,안락교차로주유소,부산 동래구 충렬대로 330 (안락동),GS칼텍스,051-552-6262,N,-,1528,1698,1550
부산광역시,대경주유소,부산 동래구 반송로 185 (안락동),현대오일뱅크,051-555-1177,N,-,1528,1687,-
부산광역시,보강주유소,부산 동래구  충렬대로 400 (안락동),현대오일뱅크,051-531-2535,Y,-,1528,1698,1600
부산광역시,(주)대원에너지 대원주유소,부산 동래구 충렬대로 460  (안락동),S-OIL,051-852-6492,Y,-,1548,1698,-
부산광역시,신세계주유소,부산 동래구 충렬대로 500 (안락동),알뜰주유소,051-528-0600,N,-,1578,1698,-
부산광역시,대원주유소,부산 동래구 미남로 38,S-OIL,051-502-0733,Y,-,1588,1758,1600
부산광역시,우암주유소,부산 남구 우암로 204,GS칼텍스,051-644-0142,Y,-,1469,1645,-
부산광역시,우암로셀프주유소,부산 남구 우암로 232 (우암동),현대오일뱅크,051-643-5363,Y,-,1469,1645,-
부산광역시,지에스칼텍스㈜ 비치주유소,부산 남구 용호로 60 (용호동),GS칼텍스,051-625-5151,Y,1689,1469,1669,1600
부산광역시,삼화주유소,부산 남구 우암로 92 (감만동),알뜰주유소,051-646-1620,N,-,1469,1645,1500
부산광역시,반도주유소,부산 남구 신선로 442 (용당동),S-OIL,051-626-6828,Y,-,1487,1667,-
부산광역시,성지셀프주유소,부산 남구 유엔로 42 (우암동),SK에너지,051-636-0051,Y,-,1488,1644,-
부산광역시,팔성셀프주유소,부산 남구 유엔로 138,현대오일뱅크,051-622-9985,Y,-,1489,1649,-
부산광역시,광신리소스㈜ 직영 광안대교주유소,부산 남구 유엔로 202,SK에너지,051-625-1140,Y,-,1489,1649,-
부산광역시,(주)대호석유 용당CY주유소,부산 남구 신선로 392 (용당동),GS칼텍스,051-622-5121,Y,1639,1489,1659,-
부산광역시,YK에너지(주),부산 남구 신선로 387 (용당동),SK에너지,051-623-5189,Y,1639,1489,1659,-
부산광역시,사랑드림주유소,부산 남구 황령대로 345 (대연동),S-OIL,051-612-0529,Y,1760,1489,1659,-
부산광역시,북항대교주유소,부산 남구  신선로 316 (용당동),S-OIL,051-628-5152,Y,-,1489,1669,1700
부산광역시,은마석유주식회사,부산 남구 신선로 351 (용당동),GS칼텍스,051-628-4323,Y,1639,1489,1659,-
부산광역시,(주)문화주유소,부산 남구 유엔로 155,GS칼텍스,051-621-2416,Y,1699,1489,1649,1600
부산광역시,매일주유소,부산 남구 수영로 22 (문현동),알뜰주유소,051-646-5182,Y,-,1495,1668,1500
부산광역시,분포셀프주유소,부산 남구 용호로 116 (용호동),SK에너지,051-627-5151,Y,-,1495,1685,1600
부산광역시,(주)경인석유,부산 남구 신선로 448 (용당동),SK에너지,051-626-2426,Y,-,1498,1655,-
부산광역시,대일주유소,부산 남구 황령대로 401-2 (대연동),GS칼텍스,051-627-0727,N,1729,1499,1679,-
부산광역시,구도일주유소용호,부산 남구 용호로 172 (용호동),S-OIL,051-611-5191,N,-,1499,1699,1550
부산광역시,CJ대한통운(주)직영 용당터미널주유소,부산 남구 신선로 252,현대오일뱅크,051-621-5154,N,-,1499,1679,-
부산광역시,동명주유소,부산 남구 황령대로98번길 7 (문현동),S-OIL,051-646-4390,N,-,1528,1728,1550
부산광역시,문현주유소,부산 남구 우암로 374 (문현동),현대오일뱅크,051-635-5103,Y,-,1548,1778,1650
부산광역시,지에스칼텍스㈜ 대연주유소,부산 남구 수영로 288,GS칼텍스,051-624-2552,Y,1793,1559,1749,1600
부산광역시,금강석유(주) 영웅주유소,부산 남구 황령대로 346 (대연동),현대오일뱅크,051-627-0180,Y,-,1568,1698,-
부산광역시,금융단지주유소,부산 남구 황령대로98번길 75 (문현동),현대오일뱅크,051-633-5117,N,1729,1579,1749,-
부산광역시,내트럭(주)부산용당,부산 남구 신선로 261,SK에너지,051-931-8001,N,-,1598,1719,-
부산광역시,내트럭(주)부산사업소,부산 남구 신선로 168,SK에너지,051-638-3971,N,-,1598,1719,-
부산광역시,대성주유소,부산광역시 남구 문현로 67 (문현동),현대오일뱅크,051-634-0668,N,-,1599,1839,1675
부산광역시,인터지스(주)인터지스주유소,부산 남구 신선로 173 (감만동),현대오일뱅크,051-611-7611,N,-,1628,1778,-
부산광역시,은마석유(주) 항도주유소,부산 부산진구 신암로 14 (범천동),GS칼텍스,051-632-5189,Y,1617,1467,1538,-
부산광역시,스마일주유소,부산 부산진구 동평로 49,자가상표,051-939-2022,Y,-,1487,1647,-
부산광역시,대양주유소,부산 부산진구 새싹로 61-1 (부암동),알뜰주유소,051-818-6161,Y,-,1493,1593,-
부산광역시,대흥주유소,부산 부산진구 동평로 21,S-OIL,051-898-5151,Y,1795,1495,1667,-
부산광역시,(주)우양네트웍스 하마정주유소,부산 부산진구 동평로 398,S-OIL,051-861-5104,Y,-,1495,1665,-
부산광역시,(주)태화주유소,부산 부산진구 가야대로 402,SK에너지,051-896-6147,Y,-,1497,1593,-
부산광역시,(주)주공에너지,부산 부산진구 백양대로 231,알뜰주유소,051-898-0809,Y,-,1498,1628,-
부산광역시,지에스칼텍스㈜ 성지주유소,부산 부산진구 동평로 289 (연지동),GS칼텍스,051-806-0466,Y,1755,1499,1679,1650
부산광역시,광신석유(주)직영 양정주유소,부산 부산진구 동평로 361 (양정동),SK에너지,051-862-7063,Y,-,1499,1679,-
부산광역시,가야주유소,부산 부산진구 가야대로552번길 39,SK에너지,051-896-6300,Y,-,1509,1659,-
부산광역시,진성주유소,부산 부산진구 백양대로 242,S-OIL,051-896-4500,Y,-,1518,1628,-
부산광역시,명품주유소 당감점,부산 부산진구 백양대로 78 (당감동),현대오일뱅크,051-891-1881,Y,1720,1519,1679,-
부산광역시,백양주유소,부산 부산진구  백양대로 234 (개금동),SK에너지,051-894-6622,N,-,1525,1655,1600
부산광역시,SK에너지(주) 연지오토self,부산 부산진구 동평로 239 (연지동),SK에너지,051-805-9285,Y,1745,1529,1679,1550
부산광역시,영우에너지 부전주유소,부산 부산진구 신천대로 132,알뜰주유소,051-802-5593,Y,-,1535,1645,-
부산광역시,서영주유소,부산 부산진구 범일로 184 (범천동),SK에너지,051-644-7053,N,-,1548,1848,-
부산광역시,동방석유(주)sk전포주유소,부산 부산진구 동천로 10 (전포동),SK에너지,051-804-5152,Y,-,1549,1699,-
부산광역시,동방석유(주)황령산주유소,부산 부산진구 황령대로 66 (전포동),SK에너지,051-803-5151,Y,-,1569,1669,-
부산광역시,럭키주유소,부산 부산진구 새싹로 230 (초읍동),SK에너지,051-808-5113,Y,-,1578,1798,-
부산광역시,한일주유소,부산 부산진구 백양순환로110번길 19 (부암동),SK에너지,051-809-1542,Y,-,1689,1869,1685
부산광역시,케이제이주유소,부산 부산진구 전포대로176번길 5,S-OIL,051-809-5145,Y,-,1698,1838,1700
부산광역시,대명주유소,부산 부산진구 가야대로 523 (가야동),S-OIL,051-896-5105,Y,-,1698,1848,1650
부산광역시,광신석유(주)직영 범천주유소,부산 부산진구 신천대로 85,SK에너지,051-818-4419,Y,2199,1999,1999,1799
부산광역시,지에스칼텍스(주)신창주유소,부산 금정구 중앙대로 1698 (부곡동),GS칼텍스,051-581-1212,Y,1704,1489,1699,1600
부산광역시,현대오일뱅크㈜ 직영 금정셀프주유소,부산 금정구 중앙대로 1664 (부곡동),현대오일뱅크,051-583-8951,Y,-,1489,1699,-
부산광역시,은마석유 노포주유소,부산 금정구 중앙대로 2191 (노포동),GS칼텍스,051-508-1645,Y,-,1494,1634,1500
부산광역시,한길주유소,부산 금정구 반송로 420 (금사동),현대오일뱅크,051-524-6642,Y,1850,1518,1664,-
부산광역시,에이원주유소,부산 금정구 반송로 364 (서동),SK에너지,051-532-5157,Y,-,1518,1664,-
부산광역시,금두꺼비주유소,부산광역시 금정구  부곡로 67 (부곡동),알뜰주유소,051-583-6433,Y,-,1518,1658,-
부산광역시,청룡명품주유소,부산 금정구 중앙대로 2130,현대오일뱅크,051-508-5150,N,-,1519,1634,-
부산광역시,훼미리알뜰주유소,부산 금정구 두실로 2,알뜰주유소,051-582-5882,N,-,1519,1634,-
부산광역시,남산주유소,부산 금정구 중앙대로 2044 (남산동),S-OIL,051-517-5149,Y,1878,1528,1668,-
부산광역시,한솔유화(주)직영 한길주유소,부산 금정구 중앙대로 1646 (부곡동),현대오일뱅크,051-581-0875,N,-,1529,1699,1600
부산광역시,동진주유소,"부산 금정구 금정로 216,  (구서동)",SK에너지,051-515-5007,Y,1729,1529,1699,2000
부산광역시,거북이주유소(SK),부산 금정구 중앙대로 1672 (부곡동),SK에너지,051-516-5151,Y,-,1529,1699,1600
부산광역시,금강주유소,부산 금정구 중앙대로 1972,SK에너지,051-581-8551,N,-,1529,1645,-
부산광역시,금샘로주유소,부산 금정구 금샘로 460 (남산동),SK에너지,051-517-0220,Y,1799,1529,1645,-
부산광역시,식물원주유소,부산 금정구 금샘로 21 (장전동),S-OIL,051-515-5189,N,-,1539,1729,1650
부산광역시,신화주유소,부산 금정구 금강로 721,현대오일뱅크,051-515-1997,Y,-,1548,1698,1550
부산광역시,동양주유소,부산 금정구  반송로 391 (서동),현대오일뱅크,051-523-1214,Y,-,1557,1747,1600
부산광역시,금정산주유소,부산 금정구 금샘로 399 (구서동),SK에너지,051-517-5472,N,-,1557,1727,1550
부산광역시,석2주유소,부산 금정구 식물원로 21 (장전동),GS칼텍스,051-581-1370,N,-,1569,1769,1700
부산광역시,지에스칼텍스(주)영풍주유소,부산 금정구 중앙대로 1782 (부곡동),GS칼텍스,051-512-3301,Y,1809,1589,1799,1600
부산광역시,새석대주유소,부산 금정구 반송로 463 (금사동),S-OIL,051-527-5142,N,-,1597,1777,1600
부산광역시,(주)대양씨앤씨직영주유소,부산 동구 성남로 74 (범일동),GS칼텍스,051-646-5563,Y,-,1498,1685,-
부산광역시,구도일주유소 부산진,부산 동구 중앙대로 414 (좌천동),S-OIL,051-644-6200,Y,1705,1515,1665,-
부산광역시,대양대박주유소,부산 동구 성남로 42 (좌천동),GS칼텍스,051-634-5252,N,-,1515,1705,1500
부산광역시,동방석유(주)초량주유소,부산 동구  중앙대로 302 (초량동),SK에너지,051-469-5181,Y,-,1515,1665,-
부산광역시,지에스칼텍스㈜ 해안주유소,부산 동구 충장대로 121,GS칼텍스,051-469-3879,Y,1735,1515,1695,1600
부산광역시,동방석유(주)형제주유소,부산광역시 동구  자성로 127 (범일2동),SK에너지,051-646-5471,Y,-,1519,1669,-
부산광역시,부산벙커앤오일 청구주유소,부산 동구 충장대로 281 (좌천동),SK에너지,051-635-9698,Y,-,1525,1695,1600
부산광역시,CJ대한통운㈜ 부산주유소,부산 동구 충장대로 305 (좌천동),GS칼텍스,051-719-5143,Y,-,1525,1695,-
부산광역시,동구SK주유소,부산 동구 중앙대로 352 (초량동),SK에너지,051-715-9338,Y,-,1599,1799,-
부산광역시,㈜삼현석유 천일주유소,부산 동구 중앙대로 168 (초량동),S-OIL,051-466-1001,N,-,1998,1665,-
부산광역시,광신석유(주)직영 가야대로주유소,부산 사상구 가야대로 395,SK에너지,070-4788-8153,Y,1999,1429,1539,-
부산광역시,스마트주유소,부산 사상구 가야대로 377,현대오일뱅크,051-314-5151,Y,-,1429,1539,-
부산광역시,지에이치주유소,부산 사상구 백양대로 349 (주례동),현대오일뱅크,051-791-2847,Y,-,1445,1545,-
부산광역시,대흥오일뱅크주유소,부산 사상구 새벽로 2,현대오일뱅크,051-312-2526,N,-,1448,1668,1690
부산광역시,㈜제이와이비젼 명성주유소,부산 사상구 학감대로 220 (감전동),GS칼텍스,051-324-5085,Y,-,1453,1593,1598
부산광역시,서부산IC주유소,부산 사상구 학감대로 170,SK에너지,051-328-5189,Y,1754,1465,1595,1620
부산광역시,(주)덕양에너지 직영 구덕산주유소,부산 사상구 학감대로 98 (학장동),SK에너지,051-323-9890,Y,-,1465,1595,-
부산광역시,에스씨(주) 새문주유소,부산 사상구 학감대로 30 (학장동),GS칼텍스,051-324-3502,Y,-,1465,1595,-
부산광역시,㈜덕양에너지직영 굿모닝주유소,부산 사상구 학감대로 70 (학장동),SK에너지,051-323-2123,Y,-,1465,1595,-
부산광역시,용마주유소,부산 사상구 가야대로 329 (주례동),알뜰주유소,051-311-3653,Y,-,1467,1538,-
부산광역시,(주)좋은기름나라새사상셀프주유소지점,부산 사상구 새벽로 154,S-OIL,051-328-2270,Y,1784,1475,1635,1600
부산광역시,엔씨네트웍스(주)직영주유소,부산 사상구 사상로 105,SK에너지,051-913-5151,Y,-,1478,1595,-
부산광역시,부영석유(주)도매주유소,부산 사상구 가야대로 10 (감전동),GS칼텍스,051-315-1117,Y,-,1478,1625,-
부산광역시,우리주유소,부산 사상구 백양대로 701 (덕포동),알뜰주유소,051-304-3654,Y,-,1485,1595,-
부산광역시,성림주유소,부산 사상구 백양대로 480,현대오일뱅크,051-545-5151,Y,-,1485,1595,-
부산광역시,행복한셀프주유소,부산 사상구 학감대로 73 (학장동),현대오일뱅크,051-327-7547,Y,-,1488,1595,-
부산광역시,광신홀딩스㈜ 직영 낙동대로주유소,부산 사상구 낙동대로 935 (감전동),SK에너지,051-311-0131,Y,-,1488,1595,-
부산광역시,경동주유소,부산 사상구 백양대로 386 (주례동),현대오일뱅크,051-311-6114,Y,-,1488,1668,1650
부산광역시,세원주유소,부산 사상구 학감대로 178,알뜰주유소,051-328-5311,Y,-,1495,1595,1500
부산광역시,한라주유소,부산 사상구 학장로 107 (학장동),SK에너지,051-326-9398,Y,-,1497,1657,1650
부산광역시,아산주유소,부산 사상구 새벽로 1 (학장동),S-OIL,051-312-0051,Y,1867,1497,1657,1650
부산광역시,(주)지엠지 우경주유소,부산 사상구 백양대로 477 (주례동),S-OIL,051-312-0951,Y,1798,1498,1628,-
부산광역시,(주)부영에너지,부산 사상구 낙동대로 994 (감전동),SK에너지,051-317-0296,Y,-,1498,1638,1650
부산광역시,보훈주유소,부산 사상구 백양대로 392 (주례동),SK에너지,051-325-4281,N,-,1498,1698,-
부산광역시,현대오일뱅크㈜직영 감전주유소,부산 사상구 낙동대로 978 (감전동),현대오일뱅크,051-315-6362,N,-,1509,1659,1557
부산광역시,구룡주유소,부산 사상구 가야대로 150 (학장동),현대오일뱅크,051-316-4360,Y,-,1518,1558,-
부산광역시,가락타운주유소,부산 사상구 낙동대로 730 (엄궁동),SK에너지,051-325-1200,Y,-,1528,1678,-
부산광역시,(주)유창주유소,부산 사상구 낙동대로 753 (엄궁동),자가상표,051-328-4422,N,-,1528,1668,1650
부산광역시,대림주유소,부산 사상구 낙동대로 1320,S-OIL,051-302-1577,Y,-,1529,1739,1700
부산광역시,흥일주유소 주식회사,부산 사상구 낙동대로 1520 (삼락동),GS칼텍스,051-302-6244,N,-,1538,1698,1450
부산광역시,성경주유소,부산 사상구 모덕로 69 (모라동),SK에너지,051-304-5100,N,-,1538,1748,1650
부산광역시,중앙주유소,부산 사상구 낙동대로 1316 (삼락동),현대오일뱅크,051-305-0629,N,-,1538,1698,1550
부산광역시,(주)성은에너지 자이언트 주유소,부산 사상구 강변대로 458 (엄궁동),GS칼텍스,051-315-4027,Y,-,1548,1708,-
부산광역시,현대오일뱅크㈜직영 낙동로주유소,부산 사상구 낙동대로 1274 (삼락동),현대오일뱅크,051-305-9558,N,1900,1549,1697,-
부산광역시,새동창주유소,부산 사상구 낙동대로 920 (감전동),SK에너지,051-324-1117,N,-,1558,1698,-
부산광역시,(주)성은에너지 제3주유소,부산 사상구 강변대로 412 (엄궁동),SK에너지,051-323-4027,Y,-,1558,1718,-
부산광역시,산업주유소,부산 사상구 낙동대로 879 (감전동),SK에너지,051-311-4305,Y,-,1568,1728,1550
부산광역시,지에스칼텍스(주)서부주유소,부산 사상구 낙동대로 1380 (삼락동),GS칼텍스,051-304-8873,Y,1803,1569,1739,1600
부산광역시,지에스칼텍스(주)대풍주유소,부산 사상구 가야대로 81 (감전동),GS칼텍스,051-315-4124,Y,1784,1569,1739,1600
부산광역시,(주)호림에너지 호림주유소,부산 사상구 낙동대로 669 (엄궁동),현대오일뱅크,051-317-5187,N,-,1578,1678,1550
부산광역시,아시아사상주유소,부산 사상구 새벽로 207 (괘법동),SK에너지,051-321-1445,N,-,1687,1897,1600
부산광역시,건영주유소,부산 사상구 가야대로 63 (감전동),SK에너지,051-328-5181,N,-,1748,1898,-
부산광역시,광신홀딩스㈜ 직영 감전주유소,부산 사상구 낙동대로 1070 (감전동),SK에너지,051-328-6402,Y,-,1999,2099,-
부산광역시,광신석유(주)직영 백양대로주유소,부산 북구 백양대로 995 (구포동),SK에너지,051-337-3100,Y,-,1438,1595,-
부산광역시,경덕주유소,부산 북구 시랑로 58 (구포동),알뜰주유소,051-343-2121,Y,-,1468,1648,1500
부산광역시,은마석유(주)금곡대로주유소,부산 북구 금곡대로 712 (금곡동),GS칼텍스,051-365-4830,Y,-,1489,1639,-
부산광역시,지에스칼텍스(주)구포셀프주유소,부산 북구 사상로 619 (구포동),GS칼텍스,051-338-5189,Y,1689,1499,1679,-
부산광역시,동양가스산업(주)명품주유소,부산 북구 금곡대로 113 (덕천동),현대오일뱅크,051-343-3003,Y,1760,1499,1679,-
부산광역시,(주)세일 금곡주유소,부산 북구 금곡대로 604 (금곡동),S-OIL,051-334-7771,Y,-,1519,1639,-
부산광역시,(주)삼보부림SELF주유소,부산 북구 만덕대로 343 (만덕동),GS칼텍스,051-338-5156,Y,-,1519,1679,-
부산광역시,광신석유(주)직영 덕천주유소,부산 북구 의성로 20 (덕천동),SK에너지,051-343-5232,Y,-,1519,1679,-
부산광역시,북부산새마을금고주유소,부산 북구 금곡대로 37,현대오일뱅크,051-341-0151,Y,-,1519,1679,-
부산광역시,만복드림주유소,부산 북구 만덕대로 170,S-OIL,051-343-5155,Y,-,1519,1679,-
부산광역시,삼보주유소/충전소,부산 북구 만덕대로 331 (만덕동),GS칼텍스,051-336-2002,Y,1829,1519,1679,1600
부산광역시,화명신도시주유소,부산 북구 금곡대로 203 (화명동),알뜰주유소,051-365-0711,N,-,1525,1665,-
부산광역시,성도주유소,부산 북구 낙동대로 1642,S-OIL,051-333-3351,N,1798,1528,1718,-
부산광역시,지에스칼텍스(주)라인셀프주유소,부산 북구 덕천로 179 (만덕동),GS칼텍스,051-338-5145,Y,-,1529,1719,-
부산광역시,무지개주유소,부산 북구 금곡대로 692 (금곡동),현대오일뱅크,051-335-4330,N,-,1539,1699,1650
부산광역시,삼진셀프주유소,부산 북구 의성로53번길 5,SK에너지,051-342-3516,Y,-,1539,1679,-
부산광역시,SK에너지(주)두꺼비,부산 북구 금곡대로 362 (화명동),SK에너지,051-362-5555,Y,1819,1559,1719,-
부산광역시,SK에너지(주)신광셀프주유소,부산 북구 덕천로 275 (만덕동),SK에너지,051-336-9911,Y,-,1559,1719,-
부산광역시,오션셀프주유소,부산 사하구 감천항로 227,S-OIL,010-2755-7600,Y,-,1455,1610,-
부산광역시,대창제1주유소,부산 사하구 을숙도대로 821 (구평동),SK에너지,051-266-7788,Y,-,1479,1659,-
부산광역시,동원주유소(주),부산 사하구 감천항로 445 (구평동),자가상표,051-261-4448,Y,-,1485,1655,-
부산광역시,사하주유소,부산 사하구 을숙도대로 583,GS칼텍스,051-202-5175,N,-,1495,1695,-
부산광역시,광신홀딩스㈜ 직영 을숙도대로주유소,부산 사하구 을숙도대로 530 (신평동),SK에너지,051-205-8800,Y,-,1499,1629,-
부산광역시,부영석유 도매주유소,부산 사하구 을숙도대로 564,GS칼텍스,051-202-7333,Y,-,1499,1629,-
부산광역시,인도에너지(주),부산 사하구 감천항로 20,SK에너지,051-988-1817,Y,-,1499,1625,-
부산광역시,장림대흥주유소,부산 사하구 다대로 292 (장림동),SK에너지,051-262-5189,Y,1723,1499,1629,-
부산광역시,오케이주유소,부산 사하구 사하로 150 (괴정동),S-OIL,051-293-7601,Y,-,1499,1629,1475
부산광역시,대양석유(주) SK괴정주유소,부산광역시 사하구  사하로 129,SK에너지,051-206-7446,Y,-,1499,1629,-
부산광역시,에스씨(주) 감천주유소,부산 사하구 감천로 79 (감천동),GS칼텍스,051-291-9700,Y,-,1499,1629,1475
부산광역시,지에스칼텍스(주)다대주유소,부산 사하구 다대로 377 (장림동),GS칼텍스,051-265-5131,Y,1763,1519,1679,-
부산광역시,현대오일뱅크㈜직영 괴정제일셀프주유소,부산 사하구 낙동대로 169,현대오일뱅크,051-292-0091,Y,-,1519,1684,1559
부산광역시,송림주유소,부산 사하구 장평로 177 (장림동),GS칼텍스,051-262-0072,Y,-,1519,1679,-
부산광역시,지에스칼텍스㈜ 동아주유소,부산 사하구 낙동대로 112 (괴정동),GS칼텍스,051-206-2351,Y,1753,1519,1669,-
부산광역시,토성셀프주유소,부산 사하구 다대로 581 (다대동),SK에너지,051-261-5145,Y,-,1525,1622,1550
부산광역시,(주)천일에너지 대진주유소,부산 사하구 낙동대로 339,현대오일뱅크,051-206-6489,Y,-,1527,1677,-
